,Time,BDF_0,BDF_1,BDF_2,BDF_3,BDF_4,BDF_5,BDF_6,BDF_7,BDF_8,BDF_9,BDF_10,BDF_11,BDF_12
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,1.3274781017711472,1.7305309528420156,2.247868781942783,2.9085603579812846,3.7477872974697855,4.807679616320316,6.138120720334711,7.7974712154597325,9.853153804802663,12.382038156711289,15.470566202738187,19.214565504963737,23.71871089929614
2,0.5,3.7151479712894475,4.836880465765947,6.2737341364157855,8.104501970295916,10.423925725486331,13.344587897655499,16.998577132960534,21.53875329670723,27.139415873422532,33.99616883516457,42.32478067162935,52.35886245542375,64.34622973914578
3,0.75,6.747628897835262,8.772749211189105,11.361073323347764,14.650814070968206,18.806976814457308,24.023985391588923,30.527657670229587,38.57617089017903,48.39401389013878,59.81785411239167,72.90338401020566,87.68559150162284,104.1382965113545
4,1.0,10.268757193549362,13.331881935049877,17.23820062061469,22.190692657138655,28.42991070160462,36.06277515158132,44.97725306427411,55.234246782734914,66.8313679450439,79.71260225293942,93.69083331067927,108.4013931929322,123.1835035114317
5,1.25,15.512303476939888,20.12080089039116,25.984032261909718,33.08569412172603,41.459050766139775,51.17740282461861,62.26331565969163,74.62674675523108,88.006158899136,101.82988393180446,114.20878950363037,125.06527370521158,136.40073097392673
6,1.5,22.150090594668008,28.484475776344883,36.06206591397834,44.998381104731806,55.356752992820574,67.10973941201439,80.06247826817857,93.59096803525942,105.64199975321016,118.08771045880096,131.91975526351325,147.25717189705597,164.00917979138296
7,1.75,29.24963223653868,36.97588752238292,46.0994758136286,56.6781020994859,68.63674814492038,81.59487413252904,93.91252533367796,106.62365365684396,121.0843931016074,136.94463987284206,154.20178298643867,172.76474957246793,192.28637556190915
8,2.0,36.264728456093295,45.26471207081899,55.714488446552025,67.50231594267095,79.98982850854439,91.6946234002006,104.6172411832234,118.78018721269737,134.13986874545608,150.45147761286506,167.46092707102164,184.67738989544358,201.14711823716715
9,2.25,43.062997104215064,53.13813994144374,64.50403754836627,75.88609780343108,86.912529828477,99.06724098318087,112.24155699779752,126.17146397861413,140.47809307907596,154.32787983652915,165.6771397117878,174.2344088019496,181.63786445119234
10,2.5,49.51800740676285,60.11164597019909,70.4683155972906,80.68323161449221,91.81806955150105,103.68311158686085,115.86481860678694,127.46874181933973,136.21322289437882,143.5979841334331,150.3352868493381,156.20633175724515,160.65176503229776
11,2.75,54.983657996055015,64.56298131596083,73.89462749956003,83.97764570798202,94.50801046295774,104.85590031291926,113.06622232674646,119.79804260421758,126.12821561352513,131.70469638267195,136.41410342663437,140.04362426936132,142.09036032202255
12,3.0,58.6021831709719,67.07824413846197,76.16582978277951,85.50021731044964,94.13504282990414,100.42278754411075,106.38608874323205,111.87304760497344,116.78988600238446,120.79645235920273,123.78203416967392,125.55327609239757,125.67350562493493
13,3.25,60.51349833767594,68.71941727539237,77.04567083200303,84.20978212663829,89.77227600379958,95.12593591999479,100.100628155554,104.47231447489469,108.14295125084851,110.79166729311059,112.31970594171537,112.56224779797108,111.15342364018673
14,3.5,61.776415254310535,69.3009386795246,75.59891543020927,80.67327512849522,85.54647516710271,90.1084694614776,94.18652265072524,97.56116174005147,100.13622159888592,101.61551355073524,101.91879966635909,100.9154043898266,98.3109647932304
15,3.75,62.261077351034935,68.09996971181309,72.76719076783871,77.28528866362116,81.51959312255804,85.35565185417926,88.62183197542076,91.10720220863641,92.72229729371765,93.19936098499122,92.48102671156974,90.4736627278493,86.95229964182103
16,4.0,61.49892001499591,65.82541153378263,70.04153461872454,74.03958540552019,77.68226627557118,80.85352405820773,83.38591214163733,85.08019119741351,85.85728798379395,85.48026363783362,83.91720006146352,81.11233063857014,76.90599343524754
17,4.25,59.667723015978645,63.6268242398383,67.41797395199482,70.93018997290329,74.0255717988719,76.5888633104158,78.45933884126126,79.45188479843651,79.50055288838902,78.40048895582272,76.14639149842718,72.71961787831471,68.02041867352354
18,4.5,57.89105189234898,61.50167038104406,64.89268455544044,67.95137792893485,70.54100688451686,72.54914428910529,73.82383538542624,74.19590752184314,73.61446020461932,71.90708599770363,69.09516683093469,65.19530116736055,60.161466614653804
19,4.75,56.16728307706942,59.44749725997333,62.461985461182735,65.09766524247102,67.22046897255154,68.72250232711858,69.46220490132924,69.28762869447033,68.16416432757832,65.95148940454573,62.69689193995893,58.44952735333804,53.210523190074554
20,5.0,54.494841346570695,57.46193409998473,60.122333580140236,62.363798191888215,64.0562369103574,65.09769856527501,65.35826653496744,64.70404703506657,63.1173995647331,60.4891561704616,56.89110308611309,52.40174041160769,47.06267877904118
21,5.25,52.87219838127261,55.54268930904476,57.87031853747308,59.74474369291419,61.04095299887471,61.66408694380684,61.49679542311938,60.42368286519566,58.44428912337409,55.479232497246656,51.62293552691962,46.979719469172025,41.62514482233772
22,5.5,51.29787136896698,53.687547834939565,55.70265770147756,57.235680032655445,58.1676058839536,58.41158293484912,57.86346621187786,56.426477450708106,54.117168240326045,50.88424824128377,46.842605044636564,42.1187163644893,36.81585337747934
23,5.75,49.770421649786215,51.8943686088234,53.616191398684165,54.83198799276198,55.429514253051195,55.33063392415036,54.44479991219838,52.69369900207191,50.110420406849784,46.669836667424846,42.504937485075686,37.76068244418497,32.56221847868963
24,6.0,48.28845340151959,50.16108207415332,51.60787830818492,52.529242345387146,52.82031129936502,52.412191155015265,51.228113895306805,49.207854893059775,46.400325719188054,42.804477413837134,38.56894186155118,33.85357536329724,28.80004060703132
25,6.25,46.85061236407559,48.48568779815806,49.6747910284763,50.32320370628646,50.333929917277764,49.64768315207844,48.20147484245868,45.95260968642981,42.96492045699229,39.259260745400674,34.99742298978861,30.350737611071324,25.4725377360109
26,6.5,45.4555846019247,46.866252163084624,47.8141118103558,48.20981073005687,47.96458859468869,47.02899054685507,45.353654474501944,42.91270858245006,39.783867058336185,36.00767133246475,31.75662999319121,27.21033934084239,22.529488328363232
27,6.75,44.10209530339193,45.300906134557835,46.023128449652404,46.18517263314787,45.706777969427534,44.54842223113069,42.67408789700818,40.07390593152957,36.83833372156941,33.02538993780463,28.81593735683631,24.394878850447164,19.926473349386185
28,7.0,42.7889076157016,43.787843104477304,44.29923033380389,44.24556203087907,43.5552480184909,42.19869276815278,40.15283440644016,37.42289847595056,34.11088292125599,30.290111528558818,26.147555516159862,21.870734748050026,17.62420585663805
29,7.25,41.51482151471001,42.325316805962274,42.6399046365183,42.38740807527729,41.50499585031274,39.972900995280725,37.78054061195382,34.94726300785746,31.585368178212565,27.781378452772394,23.726268245390315,19.60776445548099,15.58793804758849
30,7.5,40.27867270829297,40.911639297937896,41.04273265497281,40.60728988109965,39.551254071682465,37.86450975524991,35.54840573602332,32.63539815135445,29.246838472526683,25.48042743284307,21.529194364050895,17.578944254531834,13.786936815875793
31,7.75,39.079331572386195,39.54517901703686,39.505386284210914,38.901930227940014,37.68947970226075,35.86732669652081,33.44814896516071,30.47646999588958,27.081449733680866,23.370049231505668,19.535571509655075,15.76004657775033,12.194019900814098
32,8.0,37.915702118706285,38.22435889456804,38.02562462359887,37.26818952682421,35.915343610916224,33.97548608632352,31.471978729607464,28.460361326151293,25.076382883805202,21.43445994077106,17.726559933245852,14.129350690035213,10.785145629319745
33,8.25,36.78672099320884,36.947654536379034,36.60129071039485,35.70306004018653,34.22472044931963,32.18343158298261,29.612563798030955,26.577624210557637,23.219767948875223,19.659182931165738,16.08506446364544,12.667383306077511,9.53905005828874
34,8.5,35.691356504368656,35.713592463511674,35.23030837566941,34.20366034458632,32.6136790593884,30.485899916924573,27.863006079992694,24.81943572615711,21.500613788594336,18.03094057834869,14.595572957976305,11.356686046178908,8.436926040865865
35,8.75,34.628607680393884,34.520748411620175,33.910679217994506,32.76723002597048,31.078473332276246,28.877905432438986,26.216815035290253,23.177556612458368,19.90874302896234,16.537554957308846,13.244009711809941,10.18160695347364,7.462139372797276
36,9.0,33.597503354512696,33.36774568718927,32.64047969048965,31.391124597715827,29.615533497652518,27.354725444792333,24.667883595236297,21.64429266043146,18.434731812331655,15.16785676141678,12.017602443668373,9.128113582914635,6.5999777347030815
37,9.25,32.59710127749648,32.25325357865503,31.417858296979148,30.072810632095372,28.221457823016543,25.911886369688496,23.210465506547038,20.212458655740825,17.069854008272138,13.911601765119395,10.904761596880999,8.18362542998811,5.8374286410905665
38,9.5,31.62648725660866,31.17598582059472,30.241032893173575,28.809861096205367,26.893004703745497,24.545150584337936,21.83915401379002,18.875344707240167,15.8060295549735,12.759394205486668,9.89497081819859,7.336863698070221,5.162983044723475
39,9.75,30.684774320192254,30.134699109213194,29.10828808894138,27.59995088376664,25.627085125483156,23.25050398154658,20.548861801307112,17.626684802937014,14.635776625366955,11.702616509566937,8.9786875781866,6.57771661039218,4.566461632175439
40,10.0,29.771101907132696,29.128191667412413,28.017972747884187,26.440852534574148,24.42075548134241,22.024144180270664,19.334802120200774,16.460627446073232,13.552167334790035,10.733364841968614,8.147252994259855,5.8971186582094095,4.0388611888705555
41,10.25,28.884635080455325,28.15530185778804,26.96849758057106,25.330432133714204,23.271210727219675,20.86246935801194,18.19247103036825,15.371708233715758,12.54878672798446,9.844389990616822,7.392810004185744,5.28694234319227,3.5722187148200635
42,10.5,28.024563764338865,27.214906841952388,25.958332827923464,24.266645382999755,22.1757778593054,19.762067672253963,17.11763069170481,14.35482424935466,11.619694802630526,9.029043148558618,6.7082291167949535,4.739901121258189,3.159491240172871
43,10.75,27.190102003847592,26.30592128463632,24.986006031374203,23.247533837391238,21.131909698624142,18.71970723987014,16.106293642489497,13.405210149506594,10.759391344597727,8.281226186308906,6.087041038243482,4.249462388829308,2.794449526652773
44,11.0,26.380487246705876,25.427296101074518,24.05009988654995,22.27122129947417,20.137178968151527,17.732326645073098,15.154708006629026,12.51841583226024,9.96278336673672,7.595346042814753,5.523375537143695,3.8097694724233984,2.4715840505329725
45,11.25,25.594979646458558,24.57801724622845,23.1492501773489,21.335910365355645,19.18927264873586,16.797025948027088,14.259343574881406,11.69028558311351,9.225154958450565,6.966272893919697,5.01190597083947,3.4155716900009656,2.1860218481620195
46,11.5,24.83286138638059,23.757104544449597,22.282143787402063,20.43987911562077,18.28598660070027,15.91105816771583,13.416878708423207,10.916938600375339,8.54213936755512,6.389301785462301,4.5477989485984205,3.0621616488819248,1.9334529690022937
47,11.75,24.0934360235179,22.96361055823232,21.44751678601972,19.58147794525692,17.42522043861927,15.07182121405081,12.62418801617501,10.19475080886977,7.9096931491534015,5.860117444055778,4.126668656037991,2.745319031462231,1.7100654261469765
48,12.0,23.376027852260222,22.19661949475064,20.64415258583293,18.759126526709796,16.604972647352085,14.27685024552473,11.878330760170254,9.520337876717331,7.3240722284856306,5.374762002362057,3.7445354091509833,2.461260197436212,1.5124876625327268
49,12.25,22.679981286864194,21.455246148917016,19.870880169444746,17.97131090048014,15.82333592797628,13.523810429964437,11.17653994595345,8.890539355606576,6.781809736047212,4.929605397471625,3.397788046265771,2.2065930006893195,1.3377376644986305
50,12.5,22.00466026236252,20.73863488174328,19.126572382506023,17.216580687904894,15.078492762799678,12.81049008712165,10.516212057535157,8.302403870233587,6.2796954837588395,4.521318220993184,3.0831498025449875,1.9782762812980832,1.1831779546694512
51,12.75,21.349447653311707,20.045958632824565,18.410144290727935,16.4935464209915,14.368711189138011,12.134794192961312,9.894897398822254,7.753175287503889,5.814756960687852,4.146846817793926,2.79764734453647,1.773583548902769,1.0464757848770423
52,13.0,20.713744709847212,19.37641796580659,17.720551598436177,15.800876984389523,13.69234077203123,11.494738226569556,9.310291005692006,7.240279800682567,5.384241735815718,3.803390447149315,2.538582672152777,1.5900704237703827,0.9255679283172302
53,13.25,20.096970510530657,18.729240145734572,17.056789126361743,15.137297164790219,13.047808766533905,10.888442341609696,8.760224094995344,6.761313867966086,4.985601163676238,3.4883803354863954,2.3035076225527913,1.4255454467388793,0.8186295395550947
54,13.5,19.49856143148913,18.10367824721897,16.4178893464494,14.501585303242516,12.433616460656019,10.314125845207775,8.242656018766734,6.314032948953267,4.616475296401994,3.1994604640522324,2.0902007349869276,1.278043909463605,0.7240466123870455
55,13.75,18.917970631361417,17.499010292388718,15.802920971548168,13.89257104606321,11.84833569045048,9.770101968052126,7.75566669379222,5.896340986232034,4.274678912858555,2.934469947814912,1.8966462579785826,1.1458043924545664,0.6403916198700453
56,14.0,18.354667551580526,16.9145384176371,15.21098759792805,13.309133190200852,11.290605519144009,9.254772910346734,7.297449478450712,5.506280582790334,3.9581885821590284,2.6914268738056433,1.7210151004595533,1.0272477307287422,0.5664019688563329
57,14.25,17.808137431535847,16.349588068198504,14.641226398644315,12.75019761908655,10.759129072589467,8.766625149068332,6.8663044704029215,5.142023829220369,3.6651306849751495,2.46851347802595,1.5616475468475328,0.9209581558915108,0.0
58,14.5,17.277880838171875,15.803507219626567,14.092806865844715,12.214735325171615,10.252670523681186,8.304224992744633,6.460632200263555,4.801863737730435,3.3937703217311492,2.2640625500553018,1.4170375727230478,0.8256663894515439,0.0
59,14.75,16.763413209593626,15.275665625275176,13.564929600186339,11.701760515511468,9.77005221872125,7.866214370698092,6.078927697861462,4.484206242822202,3.1425010420170714,2.07654496367673,1.2858186128888862,0.7402344854745561,0.0
60,15.0,16.264264412261753,14.765454088913785,13.056825145597582,11.210328796908202,9.310151939054764,7.451306844388144,5.719774909074654,4.187562731146876,2.909835334419749,1.9045582402596906,1.166750647320086,0.6636422415713923,0.0
61,15.25,15.779978311372588,14.272283761637617,12.567752867686645,10.7395354372706,8.871900291606643,7.058283829137277,5.381841442527641,3.910543065533476,2.694395820471361,1.7468160593635869,1.0587084829666227,0.5949750159445127,0.0
62,15.5,15.310112354030624,13.79558546226124,12.096999874161748,10.288513699990762,8.454278222252228,6.685991015144088,5.063873626662319,3.6518490704982804,2.494907100583824,1.6021386381098384,0.9606711206717592,0.5334128050076686,0.0
63,15.75,14.854237164832476,13.334809020411207,11.643879975689384,9.85643324827091,8.056314646239636,6.333334977271861,4.764691858845019,3.4102684487070993,2.310188203697054,1.4694439073680263,0.8717121067233662,0.4782204511469509,0.0
64,16.0,14.411936153492777,12.88942264155957,11.207732685675925,9.442498616462697,7.677084190153931,5.99927996365558,4.483186229255774,3.1846690998815754,2.139145595943086,1.3477394187611993,0.7909907778603089,0.42873886368720626,0.0
65,16.25,13.982805134153427,12.45891229326547,10.787922257514637,9.045947745604748,7.315705040172576,5.682844853695531,4.218312403325213,2.9739938155266343,1.9807667069374257,1.2361149219613268,0.7177443169991544,0.38437714822721436,0.0
